GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
module-a,com.example.multimodule.service,MyService,0,10,0,0,0,4,0,2,0,2
module-a,com.example.multimodule.service,ServiceProperties,0,10,0,0,0,4,0,3,0,3
